Code INSEE;Code Postal;Commune
33460;33350;SAINT-PEY-DE-CASTETS
60688;60860;VILLERS-SUR-BONNIERES
58017;58110;AUNAY-EN-BAZOIS
31208;31160;GANTIES
23241;23190;SAINT-SILVAIN-BELLEGARDE
79326;79390;THENEZAY
10185;10210;LAGESSE
68295;68127;SAINTE-CROIX-EN-PLAINE
25436;25430;ORVE
95054;95750;LE BELLAY-EN-VEXIN
40074;40330;CASTEL-SARRAZIN
70463;70130;SAINT-GAND
76277;76440;LE FOSSE
59091;59190;BORRE
64126;64400;BIDOS
39566;39240;VILLENEUVE-LES-CHARNOD
79268;79600;SAINT-LOUP-LAMAIRE
65391;65370;SAINTE-MARIE
68322;68700;STEINBACH
11294;11300;POMY
17128;17100;COURCOURY
57100;57370;BOURSCHEID
72183;72340;MARCON
52165;52210;DANCEVOIR
52297;52000;LUZY-SUR-MARNE
11188;11480;LA PALME
61168;61600;LA FERTE-MACE
70256;70270;FRESSE
15036;15200;CHALVIGNAC
54174;54200;ECROUVES
38243;38930;LE MONESTIER-DU-PERCY
64375;64120;MEHARIN
89367;89520;SAINTS-EN-PUISAYE
62803;62850;SURQUES
6030;6110;LE CANNET
24283;24340;MONSEC
43082;43300;CRONCE
39207;39270;ECRILLE
15192;15800;SAINT-JACQUES-DES-BLATS
24431;24140;SAINT-JULIEN-DE-CREMPSE
76111;76160;BOIS-L'EVEQUE
2467;2470;MARIZY-SAINT-MARD
25569;25620;TREPOT
79334;79210;USSEAU
67471;67460;SOUFFELWEYERSHEIM
9110;9200;ENCOURTIECH
52146;52210;COUPRAY
12230;12170;SAINT-JEAN-DELNOUS
28167;28190;FRUNCE
93072;93240;STAINS
71411;71190;SAINT-EUGENE
63172;63320;GRANDEYROLLES
60379;60490;MAREUIL-LA-MOTTE
50277;50290;LONGUEVILLE
14611;14380;SAINT-MANVIEU-BOCAGE
67462;67600;SELESTAT
56243;56860;SENE
69035;69840;CENVES
75108;75008;PARIS-8E-ARRONDISSEMENT
25072;25680;BONNAL
26222;26220;ORCINAS
88481;88220;URIMENIL
51092;51120;BROYES
80513;80360;MARICOURT
51398;51480;LA NEUVILLE-AUX-LARRIS
33334;33640;PORTETS
13118;13111;COUDOUX
16332;16250;SAINT-LEGER
58107;58110;DUN-SUR-GRANDRY
7187;7110;PRUNET
30071;30350;CASSAGNOLES
62795;62270;SIBIVILLE
47224;47250;ROMESTAING
40325;40320;VIELLE-TURSAN
80480;80140;LIGNIERES-EN-VIMEU
1435;1210;VERSONNEX
72233;72260;PERAY
41140;41200;MILLANCAY
71496;71150;SAMPIGNY-LES-MARANGES
69026;69620;LE BREUIL
44047;44220;COUERON
35178;35140;MEZIERES-SUR-COUESNON
57509;57790;NITTING
38157;38780;ESTRABLIN
52254;52330;LACHAPELLE-EN-BLAISY
76402;76770;MALAUNAY
35052;35500;CHAMPEAUX
69095;69610;GREZIEU-LE-MARCHE
59648;59139;WATTIGNIES
41236;41310;SASNIERES
62879;62810;WARLUZEL
71424;71490;SAINT-GERVAIS-SUR-COUCHES
51232;51490;EPOYE
15048;15500;CHAZELLES
35305;35380;SAINT-PERAN
62215;62220;CARVIN
29075;29490;GUIPAVAS
47251;47160;SAINT-LEON
6117;6670;SAINT-BLAISE
71470;71520;SAINT-POINT
80155;80135;BUSSUS-BUSSUEL
1328;1400;ROMANS
17427;17490;SIECQ
24577;24220;VEZAC
54051;54980;BATILLY
36017;36400;LA BERTHENOUX
12070;12520;COMPEYRE
60434;60490;MORTEMER
58123;58800;GERMENAY
64143;64410;BOUILLON
41018;41000;BLOIS
46180;46100;LUNAN
58157;58140;MARIGNY-L'EGLISE
76074;76440;LA BELLIERE
54284;54490;JOUDREVILLE
51193;51460;COURTISOLS
90025;90100;CHAVANNES-LES-GRANDS
65274;65330;LIBAROS
76089;76190;BETTEVILLE
59595;59141;THUN-SAINT-MARTIN
16386;16120;TOUZAC
86131;86410;LHOMMAIZE
24380;24700;SAINT-BARTHELEMY-DE-BELLEGARDE
11434;11150;VILLEPINTE
71561;71800;VAUBAN
53196;53250;SAINT-AIGNAN-DE-COUPTRAIN
11202;11370;LEUCATE
14102;14130;LE BREUIL-EN-AUGE
62633;62130;OEUF-EN-TERNOIS
37178;37220;PANZOULT
30277;30200;SAINT-LAURENT-DE-CARNOLS
32130;32450;FAGET-ABBATIAL
1322;1600;REYRIEUX
47178;47150;MONSEGUR
40164;40120;RETJONS
65058;65170;AZET
86061;86250;CHARROUX
42314;42830;LA TUILIERE
25067;25250;BLUSSANS
38558;38200;VILLETTE-DE-VIENNE
73227;73120;SAINT-BON-TARENTAISE
52447;52200;SAINT-CIERGUES
75117;75017;PARIS-17E-ARRONDISSEMENT
42213;42114;SAINT-CYR-DE-VALORGES
8036;8250;AUTRY
56079;56800;GUILLAC
57416;57420;LORRY-MARDIGNY
19056;19320;CLERGOUX
11029;11580;BELCASTEL-ET-BUC
24421;24330;SAINT-GEYRAC
14744;14400;VIENNE-EN-BESSIN
12211;12720;SAINT-ANDRE-DE-VEZINES
59457;59840;PERENCHIES
60435;60380;MORVILLERS
76398;76490;LOUVETOT
39324;39270;MERONA
76696;76910;TOCQUEVILLE-SUR-EU
51111;51170;CHAMBRECY
37045;37160;LA CELLE-SAINT-AVANT
53247;53410;SAINT-PIERRE-LA-COUR
77148;77840;CROUY-SUR-OURCQ
15173;15190;SAINT-BONNET-DE-CONDAT
22049;22130;CREHEN
1349;1800;SAINT-ELOI
81226;81120;RONEL
59428;59554;NEUVILLE-SAINT-REMY
82100;82160;LOZE
12023;12550;LA BASTIDE-SOLAGES
53181;53220;PONTMAIN
60092;60620;BOULLARRE
82102;82120;MANSONVILLE
43165;43800;ROSIERES
21547;21140;SAINT-EUPHRONE
16096;16310;CHERVES-CHATELARS
79213;79200;POMPAIRE
15203;15500;SAINT-MARY-LE-PLAIN
32119;32800;EAUZE
14412;14260;LE MESNIL-AU-GRAIN
40021;40140;AZUR
53008;53440;ARON
17051;17580;LE BOIS-PLAGE-EN-RE
40027;40700;BASSERCLES
60549;60360;ROTANGY
4154;5160;PONTIS
81293;81630;TAURIAC
39375;39270;MOUTONNE
62871;62140;WAMBERCOURT
62002;62116;ABLAINZEVELLE
55142;55130;DAINVILLE-BERTHELEVILLE
39372;39250;MOURNANS-CHARBONNY
80219;80160;COURCELLES-SOUS-THOIX
62383;62112;GOUY-SOUS-BELLONNE
88521;88700;VOMECOURT
53264;53270;THORIGNE-EN-CHARNIE
2731;2140;LE SOURD
54328;54710;LUDRES
54318;54460;LIVERDUN
7302;7210;SAINT-VINCENT-DE-BARRES
38028;38490;LA BATIE-DIVISIN
85120;85220;LANDEVIEILLE
21394;21140;MASSINGY-LES-SEMUR
72245;72400;PREVAL
57052;57450;BARST
46123;46130;GIRAC
94081;94400;VITRY-SUR-SEINE
13061;13150;SAINT-PIERRE-DE-MEZOARGUES
17285;17350;PORT-D'ENVAUX
69187;69930;SAINT-CLEMENT-LES-PLACES
18247;18390;SAVIGNY-EN-SEPTAINE
40138;40700;LACRABE
7293;7130;SAINT-ROMAIN-DE-LERPS
62627;62490;NOYELLES-SOUS-BELLONNE
9320;9310;URS
95446;95690;NESLES-LA-VALLEE
23215;23100;SAINT-MARTIAL-LE-VIEUX
66158;66720;RASIGUERES
50365;50290;MUNEVILLE-SUR-MER
38200;38560;JARRIE
19076;19140;ESPARTIGNAC
68343;68190;UNGERSHEIM
41049;41700;CHEMERY
24347;24440;RAMPIEUX
18128;18120;LIMEUX
2190;2880;CHIVRES-VAL
1290;1800;PEROUGES
12168;12230;NANT
9335;9800;VILLENEUVE
26329;26110;SAINT-SAUVEUR-GOUVERNET
85016;85190;BEAULIEU-SOUS-LA-ROCHE
36087;36300;INGRANDES
89065;89320;CERILLY
10315;10500;RANCES
48147;48000;SAINT-ETIENNE-DU-VALDONNEZ
50019;50170;AUCEY-LA-PLAINE
41054;41700;CHOUSSY
46076;46130;CORNAC
70284;70800;HAUTEVELLE
6114;6730;SAINT-ANDRE-DE-LA-ROCHE
8134;8130;COULOMMES-ET-MARQUENY
39439;39600;PORT-LESNEY
67536;67110;WINDSTEIN
46223;46150;PONTCIRQ
79161;79100;LUZAY
29128;29400;LOC-EGUINER
71553;71800;VAREILLES
37267;37270;VERETZ
57748;57905;WITTRING
17032;17290;BALLON
70196;70800;DAMPIERRE-LES-CONFLANS
61393;61240;SAINT-GERMAIN-DE-CLAIREFEUILLE
26054;26790;BOUCHET
47124;47150;LACAUSSADE
1313;1280;PREVESSIN-MOENS
76220;76630;DOUVREND
80099;80270;BETTENCOURT-RIVIERE
91408;91490;MOIGNY-SUR-ECOLE
45285;45140;SAINT-JEAN-DE-LA-RUELLE
57066;57930;BERTHELMING
33472;33660;SAINT-SAUVEUR-DE-PUYNORMAND
10231;10400;LE MERIOT
28093;28290;CHATILLON-EN-DUNOIS
25608;25750;LE VERNOY
63203;63200;MALAUZAT
97114;97128;GOYAVE
87192;87110;SOLIGNAC
47310;47400;TONNEINS
50191;50480;FOUCARVILLE
38319;38680;PONT-EN-ROYANS
58201;58210;OUDAN
67185;67330;HATTMATT
70289;70700;IGNY
36107;36600;LYE
16114;16460;COUTURE
17007;17540;ANAIS
88289;88320;MARTIGNY-LES-BAINS
70167;70170;CONFLANDEY
53246;53370;SAINT-PIERRE-DES-NIDS
68089;68470;FELLERING
59188;59620;ECUELIN
81266;81220;SAINT-PAUL-CAP-DE-JOUX
52089;52360;CELLES-EN-BASSIGNY
80235;80570;DARGNIES
95483;95450;LE PERCHAY
19277;19200;VALIERGUES
71425;71510;SAINT-GILLES
22036;22350;LA CHAPELLE-BLANCHE
50185;50800;FLEURY
67510;67170;WAHLENHEIM
26060;26460;BOUVIERES
21637;21250;TICHEY
57155;57530;COURCELLES-CHAUSSY
7276;7160;SAINT-MICHEL-D'AURANCE
31238;31210;HUOS
50261;50160;LAMBERVILLE
27369;27480;LILLY
63288;63200;PROMPSAT
13052;13910;MAILLANE
55041;55000;BEHONNE
78090;78410;BOUAFLE
62082;62124;BARASTRE
78034;78770;AUTEUIL
49335;49330;SOEURDRES
82001;82290;ALBEFEUILLE-LAGARDE
25442;25160;OYE-ET-PALLET
63176;63210;HEUME-L'EGLISE
23124;23210;MARSAC
80026;80140;ARGUEL
76140;76740;BRAMETOT
30284;30520;SAINT-MARTIN-DE-VALGALGUES
1172;1250;GERMAGNAT
41138;41100;MESLAY
71481;71570;SAINT-SYMPHORIEN-D'ANCELLES
8180;8000;LA FRANCHEVILLE
1408;1250;SIMANDRE-SUR-SURAN
46080;46150;CRAYSSAC
53087;53170;LA CROPTE
30202;30130;PONT-SAINT-ESPRIT
12056;12160;BARAQUEVILLE
36159;36330;LE POINCONNET
2669;2330;SAINT-AGNAN
62498;62300;LENS
25345;25260;LONGEVELLE-SUR-DOUBS
14659;14190;SAINT-SYLVAIN
86006;86310;ANTIGNY
69179;69700;SAINT-ANDEOL-LE-CHATEAU
14596;14350;SAINT-JEAN-DES-ESSARTIERS
17336;17810;SAINT-GEORGES-DES-COTEAUX
14500;14130;PIERREFITTE-EN-AUGE
88351;88370;PLOMBIERES-LES-BAINS
80230;80190;CURCHY
25087;25340;BRANNE
71164;71460;CURTIL-SOUS-BURNAND
22226;22300;PLOUMILLIAU
45132;45340;EGRY
14286;14600;FOURNEVILLE
40182;40170;MEZOS
25382;25870;MONCEY
24485;24800;SAINT-PIERRE-DE-COLE
25234;25470;FERRIERES-LE-LAC
73189;73130;NOTRE-DAME-DU-CRUET
11043;11800;BOUILHONNAC
57346;57670;INSMING
54569;54380;VILLE-AU-VAL
62572;62124;METZ-EN-COUTURE
11264;11200;NEVIAN
85297;85580;TRIAIZE
23035;23170;BUDELIERE
17177;17160;LE GICQ
27682;27870;VESLY
54592;54330;VRONCOURT
32196;32410;LARROQUE-SAINT-SERNIN
59053;59570;BAVAY
65303;65190;MASCARAS
79106;79110;COUTURE-D'ARGENSON
17363;17500;SAINT-MARTIAL-DE-VITATERNE
50200;50850;GER
25109;25440;CESSEY
63236;63240;MONT-DORE
71581;71110;VINDECY
32029;32350;BARRAN
14621;14290;SAINT-MARTIN-DE-BIENFAITE-LA-CRESSONNIERE
19043;19360;LA CHAPELLE-AUX-BROCS
30030;30700;BARON
80017;80200;ALLAINES
71388;71430;SAINT-AUBIN-EN-CHAROLLAIS
34078;34270;CLARET
27333;27860;HEUDICOURT
95205;95440;ECOUEN
55208;55110;GESNES-EN-ARGONNE
68268;68210;RETZWILLER
9145;9100;LES ISSARDS
46009;46320;ASSIER
65189;65320;GAYAN
86160;86110;MIREBEAU
8005;8310;ALINCOURT
45204;45370;MEZIERES-LEZ-CLERY
47042;47260;BRUGNAC
58273;58160;SAUVIGNY-LES-BOIS
70462;70110;SAINT-FERJEUX
42257;42620;SAINT-MARTIN-D'ESTREAUX
63218;63220;MAYRES
3076;3230;CHEZY
69028;69126;BRINDAS
44220;44640;VUE
62015;62180;AIRON-NOTRE-DAME
14158;14370;CHICHEBOVILLE
57683;57270;UCKANGE
8300;8390;LE MONT-DIEU
83063;83680;LA GARDE-FREINET
14168;14710;COLOMBIERES
77061;77130;CANNES-ECLUSE
26328;26340;SAINT-SAUVEUR-EN-DIOIS
25633;25840;VUILLAFANS
68073;68290;DOLLEREN
9033;9230;BAGERT
27083;27290;BONNEVILLE-APTOT
10365;10700;SALON
39446;39600;PUPILLIN
78545;78210;SAINT-CYR-L'ECOLE
91495;91410;PLESSIS-SAINT-BENOIST
57382;57400;LANGATTE
53244;53150;SAINT-OUEN-DES-VALLONS
73274;73670;SAINT-PIERRE-D'ENTREMONT
23017;23260;BASVILLE
15018;15700;BARRIAC-LES-BOSQUETS
29250;29270;SAINT-HERNIN
74005;74200;ALLINGES
72377;72270;VILLAINES-SOUS-MALICORNE
68207;68730;MICHELBACH-LE-BAS
8385;8090;SAINT-LAURENT
80406;80490;HALLENCOURT
14288;14480;LE FRESNE-CAMILLY
63122;63320;COURGOUL
51089;51170;BROUILLET
8303;8400;MONTHOIS
3124;3340;GOUISE
25492;25110;RILLANS
11343;11270;SAINT-GAUDERIC
76106;76160;BOIS-D'ENNEBOURG
36183;36210;SAINTE-CECILE
28411;28150;VILLARS
40055;40280;BRETAGNE-DE-MARSAN
2543;2470;NEUILLY-SAINT-FRONT
62754;62128;SAINT-LEGER
29263;29590;SAINT-SEGAL
58287;58170;TAZILLY
5169;5150;SORBIERS
24352;24600;RIBERAC
41295;41350;VINEUIL
38180;38260;GILLONNAY
54302;54150;LANTEFONTAINE
43069;43190;CHENEREILLES
63024;63690;AVEZE
27213;27630;ECOS
42293;42630;SAINT-VICTOR-SUR-RHINS
4151;4300;PIERRERUE
56066;56110;GOURIN
71190;71360;EPINAC
55405;55230;PILLON
43103;43450;GRENIER-MONTGON
62512;62960;LIGNY-LES-AIRE
59064;59135;BELLAING
39073;39800;BRAINANS
33096;33560;CARBON-BLANC
70136;70000;CHARMOILLE
